id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
117,BIAR,large_airport,Akureyri International Airport,65656573.0,-18072018.0,6.0,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,BIAR,,https://www.isavia.is/en/akureyri-airport,https://en.wikipedia.org/wiki/Akureyri_Airport,
119,BIEG,medium_airport,Egilsstađir Airport,652833000000000.0,-1.44014e+16,76.0,EU,IS,IS-7,Egilsstađir,yes,BIEG,EGS,BIEG,,,https://en.wikipedia.org/wiki/Egilssta%C3%B0ir_Airport,
31549,BIGR,small_airport,Grímsey Airport,665458.0,-180173.0,66.0,EU,IS,IS-6,Grímsey,yes,BIGR,GRY,BIGR,,,https://en.wikipedia.org/wiki/Gr%C3%ADmsey_Airport,
120,BIHN,medium_airport,Hornafjörđur Airport,64295601.0,-152272.0,24.0,EU,IS,IS-8,Höfn,yes,BIHN,HFN,BIHN,,,https://en.wikipedia.org/wiki/Hornafj%C3%B6r%C3%B0ur_Airport,
121,BIHU,medium_airport,Húsavík Airport,65952301.0,-17426001.0,48.0,EU,IS,IS-6,Húsavík,yes,BIHU,HZK,BIHU,,,https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk_Airport,
122,BIIS,medium_airport,Ísafjörđur Airport,66058098.0,-231353.0,8.0,EU,IS,IS-4,Ísafjörđur,yes,BIIS,IFJ,BIIS,,https://www.isavia.is/en/isafjordur-airport,https://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur_Airport,
123,BIKF,large_airport,Keflavik International Airport,63985001.0,-226056.0,171.0,EU,IS,IS-2,Reykjavík,yes,BIKF,KEF,BIKF,,https://www.isavia.is/en/keflavik-airport,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station, REK"
125,BIRK,medium_airport,Reykjavík Domestic Airport,64128732.0,-2193759.0,48.0,EU,IS,IS-1,Reykjavík,yes,BIRK,RKV,BIRK,,,https://en.wikipedia.org/wiki/Reykjav%C3%ADk_Airport,REK
127,BITN,small_airport,Ţórshöfn Airport,66218498.0,-153356.0,65.0,EU,IS,IS-6,Ţórshöfn,yes,BITN,THO,BITN,,,https://en.wikipedia.org/wiki/Thorshofn_Airport,Thorshofn
32593,BIVO,small_airport,Vopnafjörđur Airport,65720596.0,-148506.0,16.0,EU,IS,IS-7,Vopnafjörđur,yes,BIVO,VPN,BIVO,,,https://en.wikipedia.org/wiki/Vopnafj%C3%B6r%C3%B0ur_Airport,
4614,BKPR,large_airport,Priština Adem Jashari International Airport,425728.0,21035801.0,1789.0,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,BKPR,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport,"LYPR, Pristina, Slatina Air Base"
330383,DLR,small_airport,Dalnerechensk Airport,45877949.0,133735822.0,272.0,EU,RU,RU-PRI,Dalnerechensk,yes,,DLR,UHHD,,,,
315624,DPT,small_airport,Deputatskiy Airport,69392503.0,139890012.0,950.0,EU,RU,RU-SA,Deputatskiy,yes,,DPT,UEBD,,,https://en.wikipedia.org/wiki/Deputatsky_Airport,"????, Deputatsky Airport, ???????? ???????????, Deputy Airport"
