origin,lat_origin,lon_origin,formatted_origin,destination,lat_destination,lon_destination,formatted_destination,country
VIE,48.10499675,16.5848987032657,"Vienna International Airport, Am Ziegelofen, 1300 Schwechat, Austria",Wien Hbf,48.1849883,16.3779391,"Vienna Central Station, Am Hauptbahnhof 1, 1100 Vienna, Austria",Austria
SZG,47.793329,13.002616,"Salzburg Airport, 5020 Salzburg, Austria",Salzburg Hbf,47.8130618,13.045853,"Salzburg Hauptbahnhof, Südtiroler Platz 1, 5020 Salzburg, Austria",Austria
INN,47.2602,11.344,"Inn, Austria",Innsbruck Hbf,47.2632966,11.4010207,"Innsbruck Hauptbahnhof, Autoverladung, 6020 Innsbruck, Austria",Austria
GRZ,46.989684,15.441843,"Graz Airport, 8073 Lebern, Austria",Graz Hbf,47.072105,15.417372,"Graz Hauptbahnhof, 8020 Graz, Austria",Austria
LNZ,48.236128,14.194502,"Linz Airport, 4063 Hörsching, Austria",Linz Hbf,48.2904714,14.291161192462294,"Linz Hauptbahnhof, Bahnhofplatz 3-6, 4020 Linz, Austria",Austria
KLU,46.644421,14.331896,"Klagenfurt Airport, 9062 Klagenfurt, Austria",Klagenfurt Hbf,46.6163148,14.311665626785176,"Klagenfurt Hauptbahnhof, Fromillerstraße, 9020 Klagenfurt, Austria",Austria
ANR,51.188809,4.451061,"Antwerp International Airport, 2600 Antwerp, Belgium",Antwerpen Centraal,51.2159949,4.4211011,"Antwerpen-Centraal, Koningin Astridplein 27, 2018 Antwerp, Belgium",Belgium
ANR,51.188809,4.451061,"Antwerp International Airport, 2600 Antwerp, Belgium",Antwerpen-Berchem,51.1997015,4.4323348,"Antwerpen-Berchem, Binnensingel, 2600 Antwerp, Belgium",Belgium
BRU,50.901,4.4856,"Brussels-Capital, Belgium",Brussels Airport - Zaventem,50.897673,4.483303,"Brussels National Airport, 1930 Zaventem, Belgium",Belgium
BRU,50.901,4.4856,"Brussels-Capital, Belgium",Bruxelles Midi,50.8356748,4.3362419,"Brussels-Midi, Galerie M - M-galerij, 1060 Saint-Gilles - Sint-Gillis, Belgium",Belgium
BRU,50.901,4.4856,"Brussels-Capital, Belgium",Mechelen,51.0175,4.4818,"Mechelen, Antwerp, Belgium",Belgium
LGG,50.6374,5.4432,"Liège Airport, Rue de l'Aéroport, 4460 Grâce-Hollogne, Belgium",Liège-Guillemins,50.62455075,5.566168777741272,"Gare de Liège-Guillemins, Place des Guillemins 2, 4000 Liège, Belgium",Belgium
Antwerpen Centraal,51.2159949,4.4211011,"Antwerpen-Centraal, Koningin Astridplein 27, 2018 Antwerp, Belgium",Antwerpen-Berchem,51.1997015,4.4323348,"Antwerpen-Berchem, Binnensingel, 2600 Antwerp, Belgium",Belgium
Antwerpen-Berchem,51.1997015,4.4323348,"Antwerpen-Berchem, Binnensingel, 2600 Antwerp, Belgium",Antwerpen-Noorderdokken,51.2613742,4.4277566,"Antwerpen-Noorderdokken, Argentiniëlaan, 2030 Antwerp, Belgium",Belgium
Antwerpen-Noorderdokken,51.2613742,4.4277566,"Antwerpen-Noorderdokken, Argentiniëlaan, 2030 Antwerp, Belgium",Ekeren,51.2781955,4.4209857,"Ekeren, Antwerp, VAN, Belgium",Belgium
Bruxelles Midi,50.8356748,4.3362419,"Brussels-Midi, Galerie M - M-galerij, 1060 Saint-Gilles - Sint-Gillis, Belgium",Bruxelles-Midi Eurostar,50.8357,4.3365,"Bruxelles, Vivier d'Oie / Diesdelle, BU, Belgium",Belgium
Brussels Airport - Zaventem,50.897673,4.483303,"Brussels National Airport, 1930 Zaventem, Belgium",Bruxelles Midi,50.8356748,4.3362419,"Brussels-Midi, Galerie M - M-galerij, 1060 Saint-Gilles - Sint-Gillis, Belgium",Belgium
Brussels Airport - Zaventem,50.897673,4.483303,"Brussels National Airport, 1930 Zaventem, Belgium",Mechelen,51.0175,4.4818,"Mechelen, Antwerp, Belgium",Belgium
Liège-Guillemins,50.62455075,5.566168777741272,"Gare de Liège-Guillemins, Place des Guillemins 2, 4000 Liège, Belgium",Vise,50.7383,5.7005,"Visé, WLG, Belgium",Belgium
Namur,50.4665284,4.8661892,"Namur, WNA, Belgium",Ciney,50.29136,5.091497,"Ciney, WNA, Belgium",Belgium
Ciney,50.29136,5.091497,"Ciney, WNA, Belgium",Rochefort-Jemelle,50.1578,5.2625,"Rochefort-Jemelle, Route de Forrières, 5580 Jemelle, Belgium",Belgium
ZAG,45.74027185,16.072247467592717,"Zagreb International Airport, Avenija Ivana Pavla II., 10410 City of Velika Gorica, Croatia",Zagreb Glavni kolodvor,45.8044464,15.9788333,"Zagreb Central Railway Station, Trg kralja Tomislava 12, 10000 City of Zagreb, Croatia",Croatia
Zagreb Glavni kolodvor,45.8044464,15.9788333,"Zagreb Central Railway Station, Trg kralja Tomislava 12, 10000 City of Zagreb, Croatia",Zapresic,45.8572728,15.8050436,"Town of Zaprešić, Croatia",Croatia
Zapresic,45.8572728,15.8050436,"Town of Zaprešić, Croatia",Veliko Trgovisce,46.0025312,15.8448908,"Veliko Trgovišće, Croatia",Croatia
Veliko Trgovisce,46.0025312,15.8448908,"Veliko Trgovišće, Croatia",Velika Ves,46.1253458,15.8931088,"Velika Ves, Croatia",Croatia
Velika Ves,46.1253458,15.8931088,"Velika Ves, Croatia",Zagorje,46.0983218,15.9377404,"Krapina-Zagorje County, Croatia",Croatia
PRG,50.1020451,14.270566315440009,"Václav Havel Airport Prague, K Letišti 1019/6, 161 00 Capital City of Prague, Czechia",Praha hl.n.,50.0829628,14.4360939,"Prague Main Station, Wilsonova, 116 47 Capital City of Prague, Czechia",Czechia
PRG,50.1020451,14.270566315440009,"Václav Havel Airport Prague, K Letišti 1019/6, 161 00 Capital City of Prague, Czechia",Praha-Holesovice,50.1106578,14.4397509,"Praha-Holešovice, Pod Dráhou, 170 00 Capital City of Prague, Czechia",Czechia
BRQ,49.152487050000005,16.690091442049045,"Letiště Brno Tuřany, Letiště Brno-Tuřany 904/1, 627 00 Brno, Czechia",Brno hl.n.,49.1911221,16.6131116,"Brno hlavní nádraží, Nádražní 418/1, 601 69 Brno, Czechia",Czechia
OSR,49.696337,18.114251,"Ostrava Leos Janacek Airport 401, 742 51 Mošnov, Czechia",Ostrava-Svinov,49.8210342,18.2098888,"Ostrava-Svinov, náměstí Dr. Brauna, 721 00 Ostrava, Czechia",Czechia
OSR,49.696337,18.114251,"Ostrava Leos Janacek Airport 401, 742 51 Mošnov, Czechia",Ostrava hl.n.,49.8504,18.2674,"Fakultní nemocnice Ostrava, 708 00 Ostrava, Czechia",Czechia
PED,50.0164307,15.73653943919216,"Pardubice Airport, Pražská, 530 66 Pardubice, Czechia",Pardubice hl.n.,50.0316,15.7565,"Pardubice, Palackého třída, 532 20 Pardubice, Czechia",Czechia
Praha hl.n.,50.0829628,14.4360939,"Prague Main Station, Wilsonova, 116 47 Capital City of Prague, Czechia",Praha-Holesovice,50.1106578,14.4397509,"Praha-Holešovice, Pod Dráhou, 170 00 Capital City of Prague, Czechia",Czechia
Praha hl.n.,50.0829628,14.4360939,"Prague Main Station, Wilsonova, 116 47 Capital City of Prague, Czechia",Praha-Liben,50.1033,14.4935,"Sokolovna Praha Libeň, U Libeňského zámku, 180 48 Capital City of Prague, Czechia",Czechia
Praha-Holesovice,50.1106578,14.4397509,"Praha-Holešovice, Pod Dráhou, 170 00 Capital City of Prague, Czechia",Praha-Liben,50.1033,14.4935,"Sokolovna Praha Libeň, U Libeňského zámku, 180 48 Capital City of Prague, Czechia",Czechia
Ostrava hl.n.,49.8504,18.2674,"Fakultní nemocnice Ostrava, 708 00 Ostrava, Czechia",Ostrava-Svinov,49.8210342,18.2098888,"Ostrava-Svinov, náměstí Dr. Brauna, 721 00 Ostrava, Czechia",Czechia
Ostrava hl.n.,49.8504,18.2674,"Fakultní nemocnice Ostrava, 708 00 Ostrava, Czechia",Bohumin,49.9041537,18.3574288,"Bohumín, Moravia-Silesia, Czechia",Czechia
Decin hl.n.,50.7734783,14.201296,"Děčín hlavní nádraží, Čsl. mládeže, 405 01 Děčín, Czechia",Decin-Certova voda,50.8171363,14.2214055,"Děčín-Čertova Voda, Strážní, 405 01 Děčín, Czechia",Czechia
Most,50.5032737,13.636112,"Most, Northwest, Czechia",Bilina Kyselka,50.5463,13.7654,"Bílina kyselka, Kyselská, 418 01 Bílina, Czechia",Czechia
Lichkov,50.0978527,16.6660119,"Lichkov, Northeast, Czechia",Roztoki Bystrzyckie,50.2227,16.7118,,Czechia
Kaplice,48.7389045,14.493718,"Kaplice, Southwest, Czechia",Horni Dvoriste,48.595,14.39,"Horní Dvořiště, Southwest, Czechia",Czechia
CPH,55.618,12.6508,"Citycamp cph, 1441 Copenhagen, Denmark",Taarnby st,55.6298,12.602,"Taarnby Naturskole bålplads, Dragør Municipality, Denmark",Denmark
CPH,55.618,12.6508,"Citycamp cph, 1441 Copenhagen, Denmark",Koebenhavn H,55.6727,12.5645,"Vandflyverhangaren, Refshalevej, 1432 Copenhagen, Denmark",Denmark
Taarnby st,55.6298,12.602,"Taarnby Naturskole bålplads, Dragør Municipality, Denmark",Koebenhavn H,55.6727,12.5645,"Vandflyverhangaren, Refshalevej, 1432 Copenhagen, Denmark",Denmark
Koebenhavn H,55.6727,12.5645,"Vandflyverhangaren, Refshalevej, 1432 Copenhagen, Denmark",Hoeje Taastrup st,55.64821,12.26986,"Taastrup St., Taastrup Torv, 2630 Taastrup, Denmark",Denmark
Hoeje Taastrup st,55.64821,12.26986,"Taastrup St., Taastrup Torv, 2630 Taastrup, Denmark",Roskilde st,55.6379094,12.0840409,"Roskilde St. (Stationscentret), Stationscentret, 4000 Roskilde, Denmark",Denmark
RKE,55.587913,12.127464,"Roskilde Airport, 4030 Snoldelev, Denmark",Roskilde st,55.6379094,12.0840409,"Roskilde St. (Stationscentret), Stationscentret, 4000 Roskilde, Denmark",Denmark
ODE,55.4751004,10.327968321284803,"Hans Christian Andersen Airport, Beldringevej, 5270 Allesø, Denmark",Odense st,55.4014,10.3854,"Saint Canute's Cathedral, Flakhaven, 5000 Odense, Denmark",Denmark
Fredericia st,55.56280325,9.752060309095206,"Fredericia Street Bastion, Norgesgade, 7000 Fredericia, Denmark",Middelfart st,55.5074,9.736,"Middelfart, Bjergbanksvej, 5500 Middelfart, Denmark",Denmark
STN,51.88696515,0.2441929015733029,"London Stansted Airport, A120, Uttlesford, CM24 1PY, United Kingdom",London Liverpool Street,51.5182105,-0.0814269,"London Liverpool Street, Great Eastern Walkway, City of London, EC2M 3AJ, United Kingdom",United Kingdom
LCY,51.504241,0.052981,"London City Airport, Newham, E16 2PJ, United Kingdom",London Liverpool Street,51.5182105,-0.0814269,"London Liverpool Street, Great Eastern Walkway, City of London, EC2M 3AJ, United Kingdom",United Kingdom
SEN,51.569623,0.691894,"London Southend Airport, Rochford, United Kingdom",London Liverpool Street,51.5182105,-0.0814269,"London Liverpool Street, Great Eastern Walkway, City of London, EC2M 3AJ, United Kingdom",United Kingdom
