Origin,Destination,Country,connection_time
VIE,Wien Hbf,Austria,20
SZG,Salzburg Hbf,Austria,18
INN,Innsbruck Hbf,Austria,16
GRZ,Graz Hbf,Austria,19
LNZ,Linz Hbf,Austria,18
KLU,Klagenfurt Hbf,Austria,14
ANR,Antwerpen Centraal,Belgium,19
ANR,Antwerpen-Berchem,Belgium,10
BRU,Brussels Airport - Zaventem,Belgium,3
BRU,Bruxelles Midi,Belgium,28
BRU,Mechelen,Belgium,19
LGG,Liège-Guillemins,Belgium,15
Antwerpen Centraal,Antwerpen-Berchem,Belgium,8
Antwerpen-Berchem,Antwerpen-Noorderdokken,Belgium,17
Antwerpen-Noorderdokken,Ekeren,Belgium,8
Bruxelles Midi,Bruxelles-Midi Eurostar,Belgium,5
Brussels Airport - Zaventem,Bruxelles Midi,Belgium,27
Brussels Airport - Zaventem,Mechelen,Belgium,15
Namur,Ciney,Belgium,21
Ciney,Rochefort-Jemelle,Belgium,27
ZAG,Zagreb Glavni kolodvor,Croatia,22
Zagreb Glavni kolodvor,Zapresic,Croatia,20
Zapresic,Veliko Trgovisce,Croatia,21
Veliko Trgovisce,Velika Ves,Croatia,23
PRG,Praha hl.n.,Czechia,28
PRG,Praha-Holesovice,Czechia,26
BRQ,Brno hl.n.,Czechia,19
OSR,Ostrava-Svinov,Czechia,25
OSR,Ostrava hl.n.,Czechia,33
PED,Pardubice hl.n.,Czechia,9
Praha hl.n.,Praha-Holesovice,Czechia,6
Praha hl.n.,Praha-Liben,Czechia,10
Praha-Holesovice,Praha-Liben,Czechia,10
Ostrava hl.n.,Ostrava-Svinov,Czechia,12
Ostrava hl.n.,Bohumin,Czechia,16
Decin hl.n.,Decin-Certova voda,Czechia,12
Most,Bilina Kyselka,Czechia,9
Lichkov,Roztoki Bystrzyckie,Czechia,20    
CPH,Taarnby st,Denmark,5
CPH,Koebenhavn H,Denmark,18
Taarnby st,Koebenhavn H,Denmark,16
Koebenhavn H,Hoeje Taastrup st,Denmark,22
Hoeje Taastrup st,Roskilde st,Denmark,19
RKE,Roskilde st,Denmark,13
ODE,Odense st,Denmark,18
Fredericia st,Middelfart st,Denmark,12
STN,London Liverpool Street,United Kingdom,50
LCY,London Liverpool Street,United Kingdom,25
SEN,London Liverpool Street,United Kingdom,60
LTN,London St. Pancras International,United Kingdom,50
LGW,London St. Pancras International,United Kingdom,60
LHR,London St. Pancras International,United Kingdom,50
London Liverpool Street,London St. Pancras International,United Kingdom,10
CDG,Paris Nord,France,35
CDG,Paris Est,France,35
CDG,Marne la Vallée-Chessy,France,16
CDG,ORY,France,38
ORY,Paris Gare de Lyon,France,22
LYS,Lyon Part Dieu,France,30
MRS,Marseille-St-Charles,France,23
SXB,Strasbourg,France,19
ETZ,Lorraine TGV,France,13
BSL,St-Louis (Haut-Rhin),France,8
LIL,Lille Europe,France,14
LIL,Lille Flandres,France,16
DIJ,Dijon Ville,France,19
DLE,Dole Ville,France,14
Paris Nord,Paris Est,France,6
Paris Nord,Paris Nord Eurostar,France,3
Lille Europe,Lille Flandres,France,4
Marseille-St-Charles,Marseille-Blancarde,France,12
Annecy Annecy, Gare routière,France,1
BUD,Budapest-Nyugati,Hungary,35
BUD,Budapest-Keleti,Hungary,29
BUD,Budapest-Kelenföld,Hungary,34
Budapest-Keleti,Budapest-Nyugati,Hungary,14
Budapest-Keleti,Budapest-Déli,Hungary,17
Budapest-Keleti,Budapest-Kelenföld,Hungary,19
Budapest-Nyugati,Budapest-Kelenföld,Hungary,18
Budapest-Déli,Budapest-Kelenföld,Hungary,10
Sopron,Nagycenk,Hungary,22
Vac,Szob,Hungary,35
Györ,Györszentivan,Hungary,9
Györszentivan,Nagyszentjanos,Hungary,8
Hegyeshalom,Mosonmagyarovar,Hungary,12
Mosonmagyarovar,Kimle-Karolyhaza,Hungary,15
Kimle-Karolyhaza,Lébény-Mosonszentmiklos,Hungary,13
Lébény-Mosonszentmiklos,Györ,Hungary,20
Bekescsaba,Ketegyhaza,Hungary,15
MXP,Milano Centrale,Italy,45
MXP,Milano Porta Garibaldi,Italy,40
LIN,Milano Centrale,Italy,20
BGY,Milano Centrale,Italy,45
FCO,Roma Termini,Italy,35
FCO,Roma Tiburtina,Italy,37
CIA,Roma Termini,Italy,26
VCE,Venezia Mestre,Italy,17
VCE,Venezia Santa Lucia,Italy,19
TSF,Treviso Centrale,Italy,10
TSF,Venezia Mestre,Italy,28
BLQ,Bologna Centrale,Italy,14
VRN,Verona Porta Nuova,Italy,13
TRN,Torino Porta Susa,Italy,24
Milano Centrale,Milano Porta Garibaldi,Italy,7
Milano Centrale,Milano Lambrate,Italy,16
Roma Termini,Roma Tiburtina,Italy,9
Venezia Mestre,Venezia Santa Lucia,Italy,13
Como S. Giovanni,Como Nord Camerlata,Italy,10
Levanto,Monterosso,Italy,9
Bologna Centrale,Ferrara,Italy,37
Verona Porta Nuova,Peschiera del Garda,Italy,28
Schaanwald Zollamt,Nendeln,Liechtenstein,6
Nendeln,Schaan-Vaduz,Liechtenstein,8
Schaan-Vaduz,Triesen Säga,Liechtenstein,15
AMS,Schiphol (Airport),Netherlands,2
AMS,Amsterdam Centraal,Netherlands,23
AMS,Amsterdam Zuid,Netherlands,12
RTM,Rotterdam Centraal,Netherlands,15
EIN,Eindhoven Centraal,Netherlands,15
MST,Maastricht,Netherlands,15
MST,Meerssen,Netherlands,10
Amsterdam Centraal,Amsterdam Centraal Eurostar,Netherlands,2
Amsterdam Centraal,Utrecht Centraal,Netherlands,40
Amsterdam Centraal,Rotterdam Centraal,Netherlands,60
Rotterdam Centraal,Rotterdam Centraal Eurostar,Netherlands,2
Rotterdam Centraal,Breda,Netherlands,38
Utrecht Centraal,Schiphol (Airport),Netherlands,40
Utrecht Centraal,Amersfoort Centraal,Netherlands,27
Utrecht Centraal,Arnhem Centraal,Netherlands,50
Utrecht Centraal,Driebergen-Zeist,Netherlands,13
Breda,Tilburg,Netherlands,30
Tilburg,Eindhoven Centraal,Netherlands,33
Arnhem Centraal,"Nijmegen Centraal Station (Bus), Niederlande",Netherlands,23
Arnhem Centraal,Zevenaar,Netherlands,20
"Nijmegen Centraal Station (Bus), Niederlande","Ubbergen Beek Sportpark, Niederlande",Netherlands,11
Hengelo,Oldenzaal,Netherlands,20
Maastricht,Sittard,Netherlands,22
