route_origin,route_destination,search_date,departure_time,arrival_time,legs
London,Paris,22.01.2026,06:01,09:19,"[[""London St. Pancras International"", [null, ""06:01""]], [""Paris Nord Eurostar"", [""09:19"", null]]]"
London,Paris,22.01.2026,07:01,10:19,"[[""London St. Pancras International"", [null, ""07:01""]], [""Paris Nord Eurostar"", [""10:19"", null]]]"
London,Paris,22.01.2026,08:01,11:21,"[[""London St. Pancras International"", [null, ""08:01""]], [""Paris Nord Eurostar"", [""11:21"", null]]]"
London,Paris,22.01.2026,09:01,12:44,"[[""London St. Pancras International"", [null, ""09:01""]], [""Lille Europe Eurostar"", [null, ""11:23""]], [""Lille Flandres"", [null, ""11:43""]], [""Paris Nord"", [""12:44"", null]]]"
London,Paris,22.01.2026,09:31,12:49,"[[""London St. Pancras International"", [null, ""09:31""]], [""Paris Nord Eurostar"", [""12:49"", null]]]"
London,Paris,22.01.2026,10:31,13:49,"[[""London St. Pancras International"", [null, ""10:31""]], [""Paris Nord Eurostar"", [""13:49"", null]]]"
London,Paris,22.01.2026,11:04,15:43,"[[""London St. Pancras International"", [null, ""11:04""]], [""Lille Europe Eurostar"", [null, ""13:26""]], [""Lille Flandres"", [null, ""14:42""]], [""Paris Nord"", [""15:43"", null]]]"
London,Paris,22.01.2026,12:31,16:01,"[[""London St. Pancras International"", [null, ""12:31""]], [""Paris Nord Eurostar"", [""16:01"", null]]]"
London,Paris,22.01.2026,13:01,17:13,"[[""London St. Pancras International"", [null, ""13:01""]], [""Lille Europe Eurostar"", [null, ""15:26""]], [""Lille Flandres"", [null, ""16:12""]], [""Paris Nord"", [""17:13"", null]]]"
London,Paris,22.01.2026,14:31,17:49,"[[""London St. Pancras International"", [null, ""14:31""]], [""Paris Nord Eurostar"", [""17:49"", null]]]"
London,Paris,22.01.2026,15:31,18:49,"[[""London St. Pancras International"", [null, ""15:31""]], [""Paris Nord Eurostar"", [""18:49"", null]]]"
London,Paris,22.01.2026,16:01,19:19,"[[""London St. Pancras International"", [null, ""16:01""]], [""Paris Nord Eurostar"", [""19:19"", null]]]"
London,Paris,22.01.2026,16:31,19:49,"[[""London St. Pancras International"", [null, ""16:31""]], [""Paris Nord Eurostar"", [""19:49"", null]]]"
London,Paris,22.01.2026,17:31,20:49,"[[""London St. Pancras International"", [null, ""17:31""]], [""Paris Nord Eurostar"", [""20:49"", null]]]"
London,Paris,22.01.2026,18:01,21:19,"[[""London St. Pancras International"", [null, ""18:01""]], [""Paris Nord Eurostar"", [""21:19"", null]]]"
London,Paris,22.01.2026,18:04,22:48,"[[""London St. Pancras International"", [null, ""18:04""]], [""Lille Europe Eurostar"", [null, ""20:27""]], [""Lille Europe"", [null, ""21:02""]], [""Douai"", [""21:31"", ""21:34""]], [""Arras(F)"", [""21:50"", ""21:58""]], [""Paris Nord"", [""22:48"", null]]]"
London,Paris,22.01.2026,20:01,23:19,"[[""London St. Pancras International"", [null, ""20:01""]], [""Paris Nord Eurostar"", [""23:19"", null]]]"
Paris,London,22.01.2026,07:12,08:30,"[[""Paris Nord Eurostar"", [null, ""07:12""]], [""London St. Pancras International"", [""08:30"", null]]]"
Paris,London,22.01.2026,07:42,09:00,"[[""Paris Nord Eurostar"", [null, ""07:42""]], [""London St. Pancras International"", [""09:00"", null]]]"
Paris,London,22.01.2026,07:45,09:57,"[[""Paris Nord"", [null, ""07:45""]], [""Lille Flandres"", [null, ""08:48""]], [""Lille Europe Eurostar"", [null, ""09:35""]], [""London St. Pancras International"", [""09:57"", null]]]"
Paris,London,22.01.2026,08:42,10:00,"[[""Paris Nord Eurostar"", [null, ""08:42""]], [""London St. Pancras International"", [""10:00"", null]]]"
Paris,London,22.01.2026,09:12,10:30,"[[""Paris Nord Eurostar"", [null, ""09:12""]], [""London St. Pancras International"", [""10:30"", null]]]"
Paris,London,22.01.2026,11:12,12:30,"[[""Paris Nord Eurostar"", [null, ""11:12""]], [""London St. Pancras International"", [""12:30"", null]]]"
Paris,London,22.01.2026,13:12,14:30,"[[""Paris Nord Eurostar"", [null, ""13:12""]], [""London St. Pancras International"", [""14:30"", null]]]"
Paris,London,22.01.2026,13:15,15:57,"[[""Paris Nord"", [null, ""13:15""]], [""Lille Flandres"", [null, ""14:18""]], [""Lille Europe Eurostar"", [null, ""15:35""]], [""London St. Pancras International"", [""15:57"", null]]]"
Paris,London,22.01.2026,15:12,16:30,"[[""Paris Nord Eurostar"", [null, ""15:12""]], [""London St. Pancras International"", [""16:30"", null]]]"
Paris,London,22.01.2026,16:12,17:35,"[[""Paris Nord Eurostar"", [null, ""16:12""]], [""London St. Pancras International"", [""17:35"", null]]]"
Paris,London,22.01.2026,17:12,18:30,"[[""Paris Nord Eurostar"", [null, ""17:12""]], [""London St. Pancras International"", [""18:30"", null]]]"
Paris,London,22.01.2026,18:12,19:39,"[[""Paris Nord Eurostar"", [null, ""18:12""]], [""London St. Pancras International"", [""19:39"", null]]]"
Paris,London,22.01.2026,19:10,20:30,"[[""Paris Nord Eurostar"", [null, ""19:10""]], [""London St. Pancras International"", [""20:30"", null]]]"
Paris,London,22.01.2026,19:45,21:57,"[[""Paris Nord"", [null, ""19:45""]], [""Lille Flandres"", [null, ""20:48""]], [""Lille Europe Eurostar"", [null, ""21:35""]], [""London St. Pancras International"", [""21:57"", null]]]"
Paris,London,22.01.2026,21:12,22:30,"[[""Paris Nord Eurostar"", [null, ""21:12""]], [""London St. Pancras International"", [""22:30"", null]]]"
London,Amsterdam Centraal,22.01.2026,06:16,11:20,"[[""London St. Pancras International"", [null, ""06:16""]], [""Bruxelles-Midi Eurostar"", [""09:13"", ""09:22""]], [""Rotterdam Centraal Eurostar"", [""10:32"", ""10:37""]], [""Amsterdam Centraal Eurostar"", [""11:20"", null]]]"
London,Amsterdam Centraal,22.01.2026,08:16,13:20,"[[""London St. Pancras International"", [null, ""08:16""]], [""Bruxelles-Midi Eurostar"", [""11:13"", ""11:22""]], [""Rotterdam Centraal Eurostar"", [""12:32"", ""12:37""]], [""Amsterdam Centraal Eurostar"", [""13:20"", null]]]"
London,Amsterdam Centraal,22.01.2026,09:01,14:20,"[[""London St. Pancras International"", [null, ""09:01""]], [""Lille Europe Eurostar"", [""11:23"", ""11:27""]], [""Bruxelles-Midi Eurostar"", [null, ""12:05""]], [""Bruxelles Midi"", [null, ""12:22""]], [""Antwerpen Centraal"", [""12:57"", ""13:00""]], [""Rotterdam Centraal"", [""13:32"", ""13:37""]], [""Schiphol (Airport)"", [""14:00"", ""14:03""]], [""Amsterdam Centraal"", [""14:20"", null]]]"
London,Amsterdam Centraal,22.01.2026,11:04,16:22,"[[""London St. Pancras International"", [null, ""11:04""]], [""Lille Europe Eurostar"", [""13:26"", ""13:30""]], [""Bruxelles-Midi Eurostar"", [""14:05"", ""14:22""]], [""Rotterdam Centraal Eurostar"", [""15:32"", ""15:37""]], [""Amsterdam Centraal Eurostar"", [""16:22"", null]]]"
London,Amsterdam Centraal,22.01.2026,13:01,19:17,"[[""London St. Pancras International"", [null, ""13:01""]], [""Lille Europe Eurostar"", [""15:26"", ""15:30""]], [""Bruxelles-Midi Eurostar"", [null, ""16:06""]], [""Bruxelles Midi"", [null, ""16:49""]], [""Antwerpen Centraal"", [""17:23"", ""17:35""]], [""Rotterdam Centraal"", [""18:17"", ""18:21""]], [""Schiphol (Airport)"", [null, ""18:47""]], [""Schiphol (Airport)"", [null, ""18:58""]], [""Amsterdam Lelylaan"", [""19:05"", ""19:05""]], [""Amsterdam Sloterdijk"", [""19:09"", ""19:10""]], [""Amsterdam Centraal"", [""19:17"", null]]]"
London,Amsterdam Centraal,22.01.2026,13:01,19:50,"[[""London St. Pancras International"", [null, ""13:01""]], [""Lille Europe Eurostar"", [""15:26"", ""15:30""]], [""Bruxelles-Midi Eurostar"", [null, ""16:06""]], [""Bruxelles Midi"", [null, ""17:53""]], [""Antwerpen Centraal"", [""18:27"", ""18:30""]], [""Rotterdam Centraal"", [""19:02"", ""19:07""]], [""Schiphol (Airport)"", [""19:33"", ""19:36""]], [""Amsterdam Centraal"", [""19:50"", null]]]"
London,Amsterdam Centraal,22.01.2026,15:04,20:20,"[[""London St. Pancras International"", [null, ""15:04""]], [""Lille Europe Eurostar"", [""17:25"", ""17:30""]], [""Bruxelles-Midi Eurostar"", [""18:05"", ""18:22""]], [""Rotterdam Centraal Eurostar"", [""19:32"", ""19:37""]], [""Amsterdam Centraal Eurostar"", [""20:20"", null]]]"
London,Amsterdam Centraal,22.01.2026,18:04,23:20,"[[""London St. Pancras International"", [null, ""18:04""]], [""Lille Europe Eurostar"", [""20:27"", ""20:31""]], [""Bruxelles-Midi Eurostar"", [""21:09"", ""21:22""]], [""Rotterdam Centraal Eurostar"", [""22:32"", ""22:37""]], [""Amsterdam Centraal Eurostar"", [""23:20"", null]]]"
London,Amsterdam Centraal,22.01.2026,19:34,08:14,"[[""Bruxelles Midi"", [null, ""05:53""]], [""Antwerpen Centraal"", [""06:26"", ""06:28""]], [""Rotterdam Centraal"", [""07:02"", ""07:09""]], [""Amsterdam Centraal"", [""08:14"", null]], [""London St. Pancras International"", [null, ""19:34""]], [""Lille Europe Eurostar"", [""21:56"", ""22:00""]], [""Bruxelles-Midi Eurostar"", [null, ""22:35""]]]"
London,Amsterdam Centraal,22.01.2026,20:36,10:55,"[[""Hoek van Holland Haven"", [null, ""08:00""]], [""Schiedam Centrum"", [null, ""09:46""]], [""Delft"", [""09:54"", ""09:54""]], [""Den Haag HS"", [""10:01"", ""10:02""]], [""Leiden Centraal"", [""10:12"", ""10:15""]], [""Heemstede-Aerdenhout"", [""10:32"", ""10:32""]], [""Haarlem"", [""10:37"", ""10:40""]], [""Amsterdam Sloterdijk"", [""10:49"", ""10:49""]], [""Amsterdam Centraal"", [""10:55"", null]], [""London Liverpool Street"", [null, ""20:36""]], [""London-Stratford"", [""20:43"", ""20:43""]], [""Shenfield"", [""20:58"", ""20:59""]], [""Chelmsford"", [""21:08"", ""21:08""]], [""Beaulieu Park"", [""21:12"", ""21:12""]], [""Witham (Essex)"", [""21:20"", ""21:20""]], [""Kelvedon"", [""21:24"", ""21:24""]], [""Marks Tey"", [""21:29"", ""21:29""]], [""Colchester"", [""21:36"", ""21:37""]], [""Manningtree"", [""21:44"", ""21:45""]], [""Harwich International"", [null, ""21:59""]], [""Harwich International"", [null, ""23:00""]]]"
London,Amsterdam Centraal,22.01.2026,21:00,10:55,"[[""Hoek van Holland Haven"", [null, ""08:00""]], [""Schiedam Centrum"", [null, ""09:46""]], [""Delft"", [""09:54"", ""09:54""]], [""Den Haag HS"", [""10:01"", ""10:02""]], [""Leiden Centraal"", [""10:12"", ""10:15""]], [""Heemstede-Aerdenhout"", [""10:32"", ""10:32""]], [""Haarlem"", [""10:37"", ""10:40""]], [""Amsterdam Sloterdijk"", [""10:49"", ""10:49""]], [""Amsterdam Centraal"", [""10:55"", null]], [""London Liverpool Street"", [null, ""21:00""]], [""Chelmsford"", [""21:27"", ""21:28""]], [""Colchester"", [""21:46"", ""21:47""]], [""Manningtree"", [null, ""21:55""]], [""Manningtree"", [null, ""22:00""]], [""Mistley"", [""22:04"", ""22:04""]], [""Wrabness"", [""22:09"", ""22:09""]], [""Harwich International"", [null, ""22:16""]], [""Harwich International"", [null, ""23:00""]]]"
Amsterdam Centraal,London,22.01.2026,06:40,09:57,"[[""Amsterdam Centraal Eurostar"", [null, ""06:40""]], [""Rotterdam Centraal Eurostar"", [""07:23"", ""07:28""]], [""Bruxelles-Midi Eurostar"", [""08:38"", ""08:51""]], [""Lille Europe Eurostar"", [""09:25"", ""09:35""]], [""London St. Pancras International"", [""09:57"", null]]]"
Amsterdam Centraal,London,22.01.2026,06:10,09:57,"[[""Amsterdam Centraal"", [null, ""06:10""]], [""Rotterdam Centraal"", [""06:52"", ""06:57""]], [""Antwerpen Centraal"", [""07:30"", ""07:33""]], [""Bruxelles Midi"", [null, ""08:06""]], [""Bruxelles-Midi Eurostar"", [null, ""08:51""]], [""Lille Europe Eurostar"", [""09:25"", ""09:35""]], [""London St. Pancras International"", [""09:57"", null]]]"
Amsterdam Centraal,London,22.01.2026,10:40,13:57,"[[""Amsterdam Centraal Eurostar"", [null, ""10:40""]], [""Rotterdam Centraal Eurostar"", [""11:23"", ""11:28""]], [""Bruxelles-Midi Eurostar"", [""12:38"", ""12:56""]], [""Lille Europe Eurostar"", [""13:30"", ""13:35""]], [""London St. Pancras International"", [""13:57"", null]]]"
Amsterdam Centraal,London,22.01.2026,11:10,15:57,"[[""Amsterdam Centraal"", [null, ""11:10""]], [""Schiphol (Airport)"", [""11:24"", ""11:27""]], [""Rotterdam Centraal"", [""11:52"", ""11:58""]], [""Antwerpen Centraal"", [""12:30"", ""12:33""]], [""Bruxelles Midi"", [null, ""13:06""]], [""Bruxelles-Midi Eurostar"", [null, ""14:52""]], [""Lille Europe Eurostar"", [""15:28"", ""15:35""]], [""London St. Pancras International"", [""15:57"", null]]]"
Amsterdam Centraal,London,22.01.2026,14:40,18:05,"[[""Amsterdam Centraal Eurostar"", [null, ""14:40""]], [""Rotterdam Centraal Eurostar"", [""15:23"", ""15:28""]], [""Bruxelles-Midi Eurostar"", [""16:38"", ""17:00""]], [""London St. Pancras International"", [""18:05"", null]]]"
Amsterdam Centraal,London,22.01.2026,15:10,19:00,"[[""Amsterdam Centraal"", [null, ""15:10""]], [""Schiphol (Airport)"", [""15:24"", ""15:27""]], [""Rotterdam Centraal"", [""15:52"", ""15:58""]], [""Antwerpen Centraal"", [""16:30"", ""16:33""]], [""Bruxelles Midi"", [null, ""17:06""]], [""Bruxelles-Midi Eurostar"", [null, ""17:56""]], [""Lille Europe Eurostar"", [""18:30"", ""18:37""]], [""London St. Pancras International"", [""19:00"", null]]]"
