"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,0,0,0,0,0,0,0,20251029,20251215
2,0,0,0,0,0,1,0,20251029,20251215
3,0,0,0,0,1,0,0,20251029,20251215
4,0,0,0,0,0,0,0,20251029,20251215
5,0,0,0,0,0,0,0,20251029,20251215
6,0,0,0,0,0,1,1,20251029,20251215
7,1,1,1,1,1,0,0,20251029,20251215
8,0,0,0,0,0,0,1,20251029,20251215
9,0,0,0,0,0,1,0,20251029,20251215
10,1,1,1,1,1,1,0,20251029,20251215
11,1,1,1,1,1,1,1,20251029,20251215
12,0,0,0,0,1,1,0,20251029,20251215
13,0,1,1,1,1,0,0,20251029,20251215
14,0,0,0,0,0,0,0,20251029,20251215
15,1,1,1,1,1,0,0,20251029,20251215
16,0,1,0,1,0,0,0,20251029,20251215
17,0,0,1,0,1,0,0,20251029,20251215
18,0,0,0,0,0,0,0,20251029,20251215
19,0,0,0,0,0,0,0,20251029,20251215
20,0,1,0,1,1,0,0,20251029,20251215
21,0,0,0,0,0,0,0,20251029,20251215
22,0,0,0,0,0,0,0,20251029,20251215
23,1,1,1,1,1,0,0,20251029,20251215
24,1,1,1,1,1,0,1,20251029,20251215
25,1,1,1,1,1,0,0,20251029,20251215
26,0,0,0,0,0,0,0,20251029,20251215
27,1,1,1,1,1,1,0,20251029,20251215
28,1,1,1,1,1,1,1,20251029,20251215
29,1,1,1,1,1,1,1,20251029,20251215
30,0,0,0,0,0,0,0,20251029,20251215
31,0,0,0,0,0,1,1,20251029,20251215
32,0,0,0,0,0,0,0,20251029,20251215
33,1,1,1,1,1,0,0,20251029,20251215
34,0,0,0,0,0,1,1,20251029,20251215
35,1,1,1,1,1,0,0,20251029,20251215
36,0,0,0,0,0,0,1,20251029,20251215
37,0,0,0,0,0,0,0,20251029,20251215
38,0,0,0,0,0,1,1,20251029,20251215
39,1,1,1,1,1,1,1,20251029,20251215
40,0,0,0,0,0,0,0,20251029,20251215
41,0,0,0,0,0,0,0,20251029,20251215
42,0,0,0,0,0,1,1,20251029,20251215
43,0,0,0,0,0,0,0,20251029,20251215
44,1,1,1,1,1,1,0,20251029,20251215
45,0,0,0,0,0,0,0,20251029,20251215
46,1,1,1,1,1,1,0,20251029,20251215
47,0,0,0,0,0,0,0,20251029,20251215
